SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
25,"<div id=sub25in4"" class=""noChange"">collaboration.</div>""",#sub25in4,collaboration.,noChange,109.221,1436443221400,1436443225407," ""718""",729.71875,718,729,202,42
26,"<div id=sub26in0"" class=""noChange"">Florence</div>""",#sub26in0,Florence,noChange,113.368,1436443225658,1436443229665," ""718""",342.3125,718,342,135,42
26,"<div id=sub26in1"" class=""noChange"">has</div>""",#sub26in1,has,noChange,113.368,1436443225658,1436443229665," ""718""",485.703125,718,485,63,42
26,"<div id=sub26in2"" class=""noChange"">reunited</div>""",#sub26in2,reunited,noChange,113.368,1436443225658,1436443229665," ""718""",556.1875,718,556,126,42
26,"<div id=sub26in3"" class=""noChange"">its</div>""",#sub26in3,its,noChange,113.368,1436443225658,1436443229665," ""718""",690.71875,718,690,43,42
26,"<div id=sub26in4"" class=""noChange"">best</div>""",#sub26in4,best,noChange,113.368,1436443225658,1436443229665," ""718""",741.609375,718,741,72,42
26,"<div id=sub26in5"" class=""noChange"">citizens</div>""",#sub26in5,citizens,noChange,113.368,1436443225658,1436443229665," ""718""",820.984375,718,820,118,42
27,"<div id=sub27in0"" class=""noChange"">businessmen</div>""",#sub27in0,businessmen,noChange,119.077,1436443231169,1436443233423," ""718""",475.2578125,718,475,199,42
27,"<div id=sub27in1"" class=""noChange"">artisans</div>""",#sub27in1,artisans,noChange,119.077,1436443231169,1436443233423," ""718""",682.6953125,718,682,123,42
28,"<div id=sub28in0"" class=""noChange"">people</div>""",#sub28in0,people,noChange,122.638,1436443234925,1436443237431," ""718""",345.2890625,718,345,107,42
